label	cell_type
SC_96359_30_41	cHF	EC
SC_96359_67_52	cHF	FB
SC_96359_32_24	cHF	SMC
SC_96359_35_33	cHF	EC
SC_96359_29_59	cHF	MP
SC_96359_69_56	cHF	EC
SC_96359_29_16	cHF	EC
SC_96359_30_26	cHF	FB
SC_96359_70_22	cHF	EC
SC_96359_62_45	cHF	CM
SC_96359_69_10	cHF	SMC
SC_96359_33_43	cHF	EC
SC_96359_67_54	cHF	SMC
SC_96359_19_42	cHF	CM
SC_96359_69_48	cHF	EC
SC_96359_59_1	cHF	CM
SC_96359_64_5	cHF	SMC
SC_96359_60_38	cHF	CM
SC_96359_61_0	cHF	CM
SC_96359_32_32	cHF	SMC
SC_96359_28_65	cHF	EC
SC_96359_69_12	cHF	EC
SC_96359_32_18	cHF	SMC
SC_96359_23_6	cHF	CM
SC_96359_71_34	cHF	EC
SC_96359_68_31	cHF	MP
SC_96359_23_53	cHF	CM
SC_96359_69_25	cHF	EC
SC_96359_61_10	cHF	CM
SC_96359_33_40	cHF	EC
SC_96359_71_40	cHF	EC
SC_96359_68_43	cHF	SMC
SC_96359_29_37	cHF	EC
SC_96359_62_10	cHF	CM
SC_96359_32_41	cHF	EC
SC_96359_28_56	cHF	EC
SC_96359_30_11	cHF	EC
SC_96359_31_32	cHF	MP
SC_96359_63_46	cHF	EC
SC_96359_21_28	cHF	CM
SC_96359_66_15	cHF	EC
SC_96359_62_7	cHF	CM
SC_96359_61_9	cHF	CM
SC_96359_25_67	cHF	CM
SC_96359_30_23	cHF	SMC
SC_96359_33_10	cHF	EC
SC_96359_63_21	cHF	EC
SC_96359_65_33	cHF	EC
SC_96359_22_11	cHF	CM
SC_96359_63_6	cHF	EC
SC_96359_28_5	cHF	EC
SC_96359_35_15	cHF	FB
SC_96359_68_50	cHF	EC
SC_96359_54_23	cHF	CM
SC_96359_70_18	cHF	FB
SC_96359_70_25	cHF	EC
SC_96359_35_13	cHF	EC
SC_96359_30_27	cHF	EC
SC_96359_71_56	cHF	SMC
SC_96359_67_13	cHF	EC
SC_96359_70_61	cHF	SMC
SC_96359_63_52	cHF	EC
SC_96359_68_63	cHF	EC
SC_96359_66_63	cHF	SMC
SC_96359_66_11	cHF	EC
SC_96359_68_23	cHF	EC
SC_96359_56_12	cHF	CM
SC_96359_69_38	cHF	EC
SC_96359_63_2	cHF	FB
SC_96359_56_10	cHF	CM
SC_96359_34_53	cHF	FB
SC_96359_66_68	cHF	EC
SC_96359_71_48	cHF	EC
SC_96359_65_23	cHF	EC
SC_96359_67_19	cHF	EC
SC_96359_64_22	cHF	EC
SC_96359_64_13	cHF	EC
SC_96359_71_14	cHF	SMC
SC_96359_54_17	cHF	CM
SC_96359_68_70	cHF	EC
SC_96359_70_39	cHF	EC
SC_96359_60_45	cHF	CM
SC_96359_66_48	cHF	SMC
SC_96359_70_60	cHF	EC
SC_96359_33_33	cHF	FB
SC_96359_70_17	cHF	EC
SC_96359_70_35	cHF	EC
SC_96359_68_41	cHF	SMC
SC_96359_68_25	cHF	FB
SC_96359_55_39	cHF	CM
SC_96359_66_56	cHF	FB
SC_96359_34_59	cHF	EC
SC_96359_32_46	cHF	EC
SC_96359_31_68	cHF	EC
SC_96359_58_64	cHF	CM
SC_96359_26_63	cHF	CM
SC_96359_28_9	cHF	EC
SC_96359_70_45	cHF	EC
SC_96359_71_25	cHF	EC
SC_96359_63_58	cHF	FB
SC_96359_24_30	cHF	CM
SC_96359_35_51	cHF	MP
SC_96359_63_38	cHF	EC
SC_96359_70_43	cHF	FB
SC_96359_67_67	cHF	EC
SC_96359_69_57	cHF	SMC
SC_96359_67_17	cHF	SMC
SC_96359_71_30	cHF	FB
SC_96359_64_12	cHF	EC
SC_96359_64_64	cHF	EC
SC_96359_29_27	cHF	EC
SC_96359_32_5	cHF	FB
SC_96359_58_7	cHF	CM
SC_96359_29_70	cHF	EC
SC_96359_30_49	cHF	FB
SC_96359_69_35	cHF	FB
SC_96359_60_15	cHF	CM
SC_96359_65_55	cHF	EC
SC_96359_66_1	cHF	SMC
SC_96359_27_60	cHF	EC
SC_96359_31_31	cHF	SMC
SC_96359_34_34	cHF	EC
SC_96359_31_11	cHF	EC
SC_96359_70_64	cHF	EC
SC_96359_27_37	cHF	EC
SC_96359_29_60	cHF	EC
SC_96359_32_31	cHF	EC
SC_96359_30_36	cHF	EC
SC_96359_33_51	cHF	EC
SC_96359_70_12	cHF	MP
SC_96359_28_45	cHF	EC
SC_96359_30_57	cHF	EC
SC_96359_64_25	cHF	FB
SC_96359_71_59	cHF	EC
SC_96359_35_9	cHF	FB
SC_96359_29_50	cHF	FB
SC_96359_64_49	cHF	EC
SC_96359_30_14	cHF	EC
SC_96359_35_57	cHF	FB
SC_96359_70_48	cHF	EC
SC_96359_34_71	cHF	EC
SC_96359_29_30	cHF	SMC
SC_96359_65_15	cHF	SMC
SC_96359_64_52	cHF	EC
SC_96359_63_41	cHF	EC
SC_96359_34_46	cHF	EC
SC_96359_29_15	cHF	EC
SC_96359_22_16	cHF	CM
SC_96359_66_32	cHF	EC
SC_96359_63_43	cHF	SMC
SC_96359_30_9	cHF	EC
SC_96359_69_29	cHF	FB
SC_96359_31_39	cHF	EC
SC_96359_35_62	cHF	EC
SC_96359_68_10	cHF	MP
SC_96359_28_19	cHF	SMC
SC_96359_66_52	cHF	SMC
SC_96359_67_41	cHF	EC
SC_96359_64_30	cHF	EC
SC_96359_59_0	cHF	CM
SC_96359_34_42	cHF	EC
SC_96359_29_39	cHF	EC
SC_96359_35_50	cHF	SMC
SC_96359_63_56	cHF	FB
SC_96359_20_45	cHF	CM
SC_96359_71_42	cHF	MP
SC_96359_64_37	cHF	SMC
SC_96359_20_63	cHF	CM
SC_96359_69_13	cHF	EC
SC_96359_71_12	cHF	EC
SC_96359_19_6	cHF	CM
SC_96359_69_45	cHF	SMC
SC_96359_33_32	cHF	MP
SC_96359_35_2	cHF	FB
SC_96359_70_41	cHF	EC
SC_96359_33_1	cHF	SMC
SC_96359_35_45	cHF	EC
SC_96359_68_52	cHF	EC
SC_96359_27_10	cHF	EC
SC_96359_25_12	cHF	CM
SC_96359_67_16	cHF	EC
SC_96359_24_18	cHF	CM
SC_96359_64_8	cHF	SMC
SC_96359_19_24	cHF	CM
SC_96359_60_25	cHF	CM
SC_96359_63_69	cHF	SMC
SC_96359_35_28	cHF	EC
SC_96359_61_38	cHF	CM
SC_96359_63_20	cHF	EC
SC_96359_69_40	cHF	EC
SC_96359_65_29	cHF	SMC
SC_96359_57_9	cHF	CM
SC_96359_69_24	cHF	EC
SC_96359_70_65	cHF	SMC
SC_96359_31_60	cHF	SMC
SC_96359_64_15	cHF	EC
SC_96359_21_32	cHF	CM
SC_96359_29_10	cHF	EC
SC_96359_28_58	cHF	EC
SC_96359_27_11	cHF	EC
SC_96359_70_63	cHF	EC
SC_96359_64_70	cHF	SMC
SC_96359_28_36	cHF	SMC
SC_96359_64_43	cHF	EC
SC_96359_33_4	cHF	MP
SC_96359_59_64	cHF	CM
SC_96359_30_16	cHF	EC
SC_96359_64_14	cHF	EC
SC_96359_70_31	cHF	EC
SC_96359_64_46	cHF	EC
SC_96359_69_49	cHF	EC
SC_96359_31_19	cHF	EC
SC_96359_34_70	cHF	EC
SC_96359_24_15	cHF	CM
SC_96359_67_36	cHF	EC
SC_96359_67_64	cHF	EC
SC_96359_62_36	cHF	CM
SC_96359_35_8	cHF	EC
SC_96359_33_62	cHF	FB
SC_96359_67_11	cHF	MP
SC_96359_67_46	cHF	SMC
SC_96359_32_16	cHF	EC
SC_96359_71_15	cHF	EC
SC_96359_32_23	cHF	EC
SC_96359_20_61	cHF	CM
SC_96359_25_21	cHF	CM
